,weight_2021,pitax_2021,total_gross_income_2021,weight_2022,pitax_2022,total_gross_income_2022,weight_2023,pitax_2023,total_gross_income_2023,weight_ref_2023,pitax_ref_2023,total_gross_income_ref_2023,weight_ref_2024,pitax_ref_2024,total_gross_income_ref_2024,weight_ref_2025,pitax_ref_2025,total_gross_income_ref_2025,weight_ref_2026,pitax_ref_2026,total_gross_income_ref_2026,weight_ref_2027,pitax_ref_2027,total_gross_income_ref_2027,ETR,ETR_ref
55,"7,785.0000","2,177.0000","11,078.0000","7,785.0000","2,969.0000","15,121.0000","7,785.0000","3,482.0000","17,722.0000","7,785.0000","3,482.0000","17,722.0000","7,785.0000","3,761.0000","19,139.0000","7,785.0000","4,091.0000","20,824.0000","7,785.0000","4,408.0000","22,427.0000","7,785.0000","4,763.0000","24,221.0000",0.1965,0.1965
56,"7,786.0000","2,213.0000","11,308.0000","7,786.0000","3,018.0000","15,436.0000","7,786.0000","3,537.0000","18,091.0000","7,786.0000","3,537.0000","18,091.0000","7,786.0000","3,821.0000","19,538.0000","7,786.0000","4,156.0000","21,257.0000","7,786.0000","4,479.0000","22,894.0000","7,786.0000","4,841.0000","24,726.0000",0.1955,0.1955
57,"7,785.0000","2,271.0000","11,587.0000","7,785.0000","3,098.0000","15,817.0000","7,785.0000","3,635.0000","18,537.0000","7,785.0000","3,635.0000","18,537.0000","7,785.0000","3,927.0000","20,020.0000","7,785.0000","4,271.0000","21,782.0000","7,785.0000","4,602.0000","23,459.0000","7,785.0000","4,971.0000","25,336.0000",0.1961,0.1961
58,"7,786.0000","2,322.0000","11,877.0000","7,786.0000","3,167.0000","16,212.0000","7,786.0000","3,717.0000","19,001.0000","7,786.0000","3,717.0000","19,001.0000","7,786.0000","4,014.0000","20,521.0000","7,786.0000","4,368.0000","22,327.0000","7,786.0000","4,708.0000","24,046.0000","7,786.0000","5,085.0000","25,970.0000",0.1956,0.1956
59,"7,785.0000","2,379.0000","12,170.0000","7,785.0000","3,246.0000","16,613.0000","7,785.0000","3,804.0000","19,470.0000","7,785.0000","3,805.0000","19,470.0000","7,785.0000","4,111.0000","21,028.0000","7,785.0000","4,472.0000","22,878.0000","7,785.0000","4,819.0000","24,640.0000","7,785.0000","5,205.0000","26,611.0000",0.1954,0.1954
60,"7,786.0000","2,436.0000","12,460.0000","7,786.0000","3,323.0000","17,008.0000","7,786.0000","3,899.0000","19,933.0000","7,786.0000","3,899.0000","19,933.0000","7,786.0000","4,211.0000","21,528.0000","7,786.0000","4,584.0000","23,422.0000","7,786.0000","4,939.0000","25,226.0000","7,786.0000","5,338.0000","27,244.0000",0.1956,0.1956
61,"7,785.0000","2,496.0000","12,771.0000","7,785.0000","3,404.0000","17,433.0000","7,785.0000","3,992.0000","20,431.0000","7,785.0000","3,992.0000","20,431.0000","7,785.0000","4,310.0000","22,066.0000","7,785.0000","4,692.0000","24,007.0000","7,785.0000","5,059.0000","25,856.0000","7,785.0000","5,464.0000","27,924.0000",0.1954,0.1954
62,"7,785.0000","2,555.0000","13,087.0000","7,785.0000","3,487.0000","17,864.0000","7,785.0000","4,088.0000","20,936.0000","7,785.0000","4,089.0000","20,936.0000","7,785.0000","4,413.0000","22,611.0000","7,785.0000","4,802.0000","24,601.0000","7,785.0000","5,174.0000","26,495.0000","7,785.0000","5,589.0000","28,615.0000",0.1953,0.1953
63,"7,786.0000","2,626.0000","13,431.0000","7,786.0000","3,581.0000","18,333.0000","7,786.0000","4,198.0000","21,486.0000","7,786.0000","4,198.0000","21,486.0000","7,786.0000","4,535.0000","23,205.0000","7,786.0000","4,928.0000","25,247.0000","7,786.0000","5,311.0000","27,191.0000","7,786.0000","5,741.0000","29,366.0000",0.1954,0.1954
64,"7,785.0000","2,694.0000","13,799.0000","7,785.0000","3,674.0000","18,836.0000","7,785.0000","4,303.0000","22,075.0000","7,785.0000","4,303.0000","22,075.0000","7,785.0000","4,646.0000","23,841.0000","7,785.0000","5,048.0000","25,939.0000","7,785.0000","5,441.0000","27,937.0000","7,785.0000","5,880.0000","30,172.0000",0.1949,0.1949
65,"7,786.0000","2,743.0000","14,129.0000","7,786.0000","3,741.0000","19,285.0000","7,786.0000","4,384.0000","22,603.0000","7,786.0000","4,385.0000","22,603.0000","7,786.0000","4,733.0000","24,411.0000","7,786.0000","5,149.0000","26,559.0000","7,786.0000","5,548.0000","28,604.0000","7,786.0000","5,996.0000","30,892.0000",0.1940,0.1940
66,"7,785.0000","2,829.0000","14,512.0000","7,785.0000","3,856.0000","19,808.0000","7,785.0000","4,525.0000","23,215.0000","7,785.0000","4,525.0000","23,215.0000","7,785.0000","4,883.0000","25,073.0000","7,785.0000","5,311.0000","27,279.0000","7,785.0000","5,723.0000","29,380.0000","7,785.0000","6,185.0000","31,730.0000",0.1949,0.1949
67,"7,786.0000","2,910.0000","14,931.0000","7,786.0000","3,970.0000","20,381.0000","7,786.0000","4,655.0000","23,887.0000","7,786.0000","4,655.0000","23,887.0000","7,786.0000","5,026.0000","25,798.0000","7,786.0000","5,464.0000","28,068.0000","7,786.0000","5,890.0000","30,229.0000","7,786.0000","6,365.0000","32,648.0000",0.1949,0.1949
68,"7,785.0000","2,991.0000","15,341.0000","7,785.0000","4,079.0000","20,941.0000","7,785.0000","4,783.0000","24,542.0000","7,785.0000","4,783.0000","24,542.0000","7,785.0000","5,165.0000","26,506.0000","7,785.0000","5,618.0000","28,838.0000","7,785.0000","6,053.0000","31,059.0000","7,785.0000","6,541.0000","33,544.0000",0.1949,0.1949
69,"7,786.0000","3,063.0000","15,777.0000","7,786.0000","4,176.0000","21,536.0000","7,786.0000","4,896.0000","25,240.0000","7,786.0000","4,896.0000","25,240.0000","7,786.0000","5,288.0000","27,259.0000","7,786.0000","5,751.0000","29,658.0000","7,786.0000","6,200.0000","31,942.0000","7,786.0000","6,702.0000","34,497.0000",0.1940,0.1940
70,"7,785.0000","3,147.0000","16,226.0000","7,785.0000","4,295.0000","22,149.0000","7,785.0000","5,038.0000","25,958.0000","7,785.0000","5,039.0000","25,958.0000","7,785.0000","5,440.0000","28,035.0000","7,785.0000","5,916.0000","30,502.0000","7,785.0000","6,377.0000","32,851.0000","7,785.0000","6,893.0000","35,479.0000",0.1941,0.1941
71,"7,786.0000","3,242.0000","16,720.0000","7,786.0000","4,420.0000","22,822.0000","7,786.0000","5,183.0000","26,748.0000","7,786.0000","5,184.0000","26,748.0000","7,786.0000","5,596.0000","28,887.0000","7,786.0000","6,084.0000","31,429.0000","7,786.0000","6,558.0000","33,849.0000","7,786.0000","7,088.0000","36,557.0000",0.1938,0.1938
72,"7,785.0000","3,338.0000","17,225.0000","7,785.0000","4,551.0000","23,512.0000","7,785.0000","5,343.0000","27,556.0000","7,785.0000","5,344.0000","27,556.0000","7,785.0000","5,775.0000","29,761.0000","7,785.0000","6,284.0000","32,380.0000","7,785.0000","6,776.0000","34,873.0000","7,785.0000","7,323.0000","37,663.0000",0.1939,0.1939
73,"7,786.0000","3,438.0000","17,771.0000","7,786.0000","4,685.0000","24,257.0000","7,786.0000","5,495.0000","28,430.0000","7,786.0000","5,495.0000","28,430.0000","7,786.0000","5,938.0000","30,704.0000","7,786.0000","6,460.0000","33,406.0000","7,786.0000","6,967.0000","35,978.0000","7,786.0000","7,529.0000","38,857.0000",0.1933,0.1933
