Year,CPI,SALARY,inc_supply,inc_product,inc_work,inc_service,inc_freight,inc_transactions,inc_disposal_fixed,inc_disposal_intangible,inc_disposal_other,inc_dividends,inc_interest_loans,inc_interest_borrowings,inc_interest_lease,inc_operating,inc_royalties,inc_granted_funds,inc_granted_land,inc_other_granted,inc_forfeited_court,inc_forfeited_other,inc_excess,inc_received_discount,inc_insurance,inc_compensation,inc_penalties,inc_recalculation,inc_credit_debts,inc_repayments_bad_debts,inc_accrued,inc_banks,inc_not_written,inc_recognized,inc_commissions,inc_settlement,inc_VAT,inc_other,inc_total,inc_licensing,inc_joint,inc_border,exp_supplied_goods,exp_production_goods,exp_work,exp_service,exp_mediation,exp_disposed_fixed_assets,exp_disposed_intangible_assets,exp_disposed_other,exp_administrative,exp_out_territory,exp_in_territory,exp_rep_costs,exp_management_fee,exp_consulting,exp_IT,exp_commercial,exp_advertising,exp_marketing,exp_non_production,exp_fin_interest_banking,exp_fin_interest_lending,exp_fin_interest_non_banking,exp_charity,exp_insurance_reinsurance,exp_rent_easement,exp_compensation,exp_penalties,exp_non_expuctible_taxes,exp_expuction_VAT,exp_other,exp_total,loss_natural,loss_quality,loss_accidental,loss_other,loss_total,o_pay_invalid,o_pay_bad_debt,o_pay_bad_debt_excess,o_pay_repaying,o_pay_possible_loss,o_pay_insurance_reinsurance,o_pay_technical_reserve,o_pay_loss_counterfeit,o_pay_tax_loss,o_pay_value_of_assets,o_pay_150_percent,o_pay_derivative_settlement,o_pay_resident_dividends,o_pay_voluntary_pension,o_pay_other,o_pay_total,ded_total,ded_total_licensing,ded_total_joint_activities,ded_total_org_production_border,taxable_profit_loss,incentives_tax_reduction,taxable_profit_with_incentives,profit_tax_reporting,profit_tax_reduction_projects,profit_tax_reduction_citizens,rev_comm_q,tax_rate_comm_q,tax_calc_comm_q,exp_purchase_q,rate_exp_ded_tax_calc,amount_ded_tax_q,unded_trans_tax_prev_q,total_ded_tax_q,min_tax_q_1.5%,tax_payable_calc_q,unded_trans_tax_next_q_purchase,rev_pub_cater_q,tax_rate_pub_cater_q,tax_calc_pub_cater_q,exp_activities_pub_cater_q,rate_exp_ded_tax_calc_pub_cater,amount_ded_tax_q_1,min_tax_accounting_q_4%,tax_payable_calc_q_1,to_income,to_tax_amount,to_income_1,to_rate,to_tax_amount_1,to_income_2,to_rate_1,to_tax_amount_2,to_income_3,to_rate_2,to_tax_amount_3,to_income_4,to_rate_3,to_tax_amount_4,to_income_5,to_rate_4,to_tax_amount_5,to_income_6,to_rate_5,to_tax_amount_6,to_income_7,to_tax_amount_7,to_income_8,to_rate_6,to_tax_amount_8,to_income_9,to_rate_7,to_tax_amount_9,to_income_10,to_tax_amount_10,rev_articles_19_7_19_8,rev_turn_tax_priv_retail_sales_population,rev_sale_prod_org_turn_tax_priv_border_sett,rev_act_public_catering_turn_tax_priv_border_sett,sales_turn_rev_all_act,ab_fs_prop_jan1,ab_in_fs_prop,ab_out_fs_prop,ab_fs_prop_dec31,ab_tx_prop_jan1,ab_in_tx_prop,ab_out_tx_prop,ab_tx_prop_dec31,ab_fs_int_assets_jan1,ab_in_fs_int_assets,ab_out_fs_int_assets,ab_fs_int_assets_dec31,ab_tx_int_assets_jan1,ab_in_tx_int_assets,ab_out_tx_int_assets,ab_tx_int_assets_dec31,o_pay_150_percent_base
2022,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,1,1,1.17,1.1,1.16,1.19,1.66,1.14,1.21,2.34,1.46,1.05,1.08,1.07,1.42,1.1,1.13,1,1.88,1.21,0.61,1,1.16,1.56,1.1,1.01,0.87,1.44,1.01,0.56,0.72,0.9,1.2,1.13,1.19,0.52,1.69,1.29,1.16,0.65,1.12,1.95,1.17,1.11,1.17,1.2,1.26,1.19,2.34,1.43,1.17,0.97,0.72,1.13,0.9,1.16,1.11,1.18,1.05,1.15,0.97,1.11,1.13,1.01,1.19,1.13,1.13,0.99,1.02,1.14,0.87,1.36,1.17,1.03,1.18,1.85,0.99,1.06,1.16,0.99,1.11,1.12,1.02,1.08,1.15,2.03,1.11,1.03,1.06,0.62,1.05,1.04,0.99,1.06,1.16,0.72,1.07,2.06,1.14,1.41,1.15,1.15,1,1.31,1.04,0.95,1.04,1,0.95,1,1.22,1.11,1.04,1.04,1.16,1.42,1.12,1.42,1.46,1.12,1.46,1.42,1.41,1.04,1.04,1.38,0.95,1.38,0.87,0.95,0.87,1.01,0.95,1.01,1.08,0.95,1.08,1.14,0.95,1.14,0.36,0.95,0.36,1.42,1.41,1.18,1.12,1.18,1.21,0.95,1.21,1.13,1.16,0.54,1.06,1.07,1.23,1.11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.06
2024,1,1,1.17,1.1,1.16,1.19,1.66,1.14,1.21,2.34,1.46,1.05,1.08,1.07,1.42,1.1,1.13,1,1.88,1.21,0.61,1,1.16,1.56,1.1,1.01,0.87,1.44,1.01,0.56,0.72,0.9,1.2,1.13,1.19,0.52,1.69,1.29,1.16,0.65,1.12,1.95,1.17,1.11,1.17,1.2,1.26,1.19,2.34,1.43,1.17,0.97,0.72,1.13,0.9,1.16,1.11,1.18,1.05,1.15,0.97,1.11,1.13,1.01,1.19,1.13,1.13,0.99,1.02,1.14,0.87,1.36,1.17,1.03,1.18,1.85,0.99,1.06,1.16,0.99,1.11,1.12,1.02,1.08,1.15,2.03,1.11,1.03,1.06,0.62,1.05,1.04,0.99,1.06,1.16,0.72,1.07,2.06,1.14,1.41,1.15,1.15,1,1.31,1.04,0.95,1.04,1,0.95,1,1.22,1.11,1.04,1.04,1.16,1.42,1.12,1.42,1.46,1.12,1.46,1.42,1.41,1.04,1.04,1.38,0.95,1.38,0.87,0.95,0.87,1.01,0.95,1.01,1.08,0.95,1.08,1.14,0.95,1.14,0.36,0.95,0.36,1.42,1.41,1.18,1.12,1.18,1.21,0.95,1.21,1.13,1.16,0.54,1.06,1.07,1.23,1.11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.06
2025,1,1,1.17,1.1,1.16,1.19,1.66,1.14,1.21,2.34,1.46,1.05,1.08,1.07,1.42,1.1,1.13,1,1.88,1.21,0.61,1,1.16,1.56,1.1,1.01,0.87,1.44,1.01,0.56,0.72,0.9,1.2,1.13,1.19,0.52,1.69,1.29,1.16,0.65,1.12,1.95,1.17,1.11,1.17,1.2,1.26,1.19,2.34,1.43,1.17,0.97,0.72,1.13,0.9,1.16,1.11,1.18,1.05,1.15,0.97,1.11,1.13,1.01,1.19,1.13,1.13,0.99,1.02,1.14,0.87,1.36,1.17,1.03,1.18,1.85,0.99,1.06,1.16,0.99,1.11,1.12,1.02,1.08,1.15,2.03,1.11,1.03,1.06,0.62,1.05,1.04,0.99,1.06,1.16,0.72,1.07,2.06,1.14,1.41,1.15,1.15,1,1.31,1.04,0.95,1.04,1,0.95,1,1.22,1.11,1.04,1.04,1.16,1.42,1.12,1.42,1.46,1.12,1.46,1.42,1.41,1.04,1.04,1.38,0.95,1.38,0.87,0.95,0.87,1.01,0.95,1.01,1.08,0.95,1.08,1.14,0.95,1.14,0.36,0.95,0.36,1.42,1.41,1.18,1.12,1.18,1.21,0.95,1.21,1.13,1.16,0.54,1.06,1.07,1.23,1.11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.06
2026,1,1,1.17,1.1,1.16,1.19,1.66,1.14,1.21,2.34,1.46,1.05,1.08,1.07,1.42,1.1,1.13,1,1.88,1.21,0.61,1,1.16,1.56,1.1,1.01,0.87,1.44,1.01,0.56,0.72,0.9,1.2,1.13,1.19,0.52,1.69,1.29,1.16,0.65,1.12,1.95,1.17,1.11,1.17,1.2,1.26,1.19,2.34,1.43,1.17,0.97,0.72,1.13,0.9,1.16,1.11,1.18,1.05,1.15,0.97,1.11,1.13,1.01,1.19,1.13,1.13,0.99,1.02,1.14,0.87,1.36,1.17,1.03,1.18,1.85,0.99,1.06,1.16,0.99,1.11,1.12,1.02,1.08,1.15,2.03,1.11,1.03,1.06,0.62,1.05,1.04,0.99,1.06,1.16,0.72,1.07,2.06,1.14,1.41,1.15,1.15,1,1.31,1.04,0.95,1.04,1,0.95,1,1.22,1.11,1.04,1.04,1.16,1.42,1.12,1.42,1.46,1.12,1.46,1.42,1.41,1.04,1.04,1.38,0.95,1.38,0.87,0.95,0.87,1.01,0.95,1.01,1.08,0.95,1.08,1.14,0.95,1.14,0.36,0.95,0.36,1.42,1.41,1.18,1.12,1.18,1.21,0.95,1.21,1.13,1.16,0.54,1.06,1.07,1.23,1.11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.06
2027,1,1,1.17,1.1,1.16,1.19,1.66,1.14,1.21,2.34,1.46,1.05,1.08,1.07,1.42,1.1,1.13,1,1.88,1.21,0.61,1,1.16,1.56,1.1,1.01,0.87,1.44,1.01,0.56,0.72,0.9,1.2,1.13,1.19,0.52,1.69,1.29,1.16,0.65,1.12,1.95,1.17,1.11,1.17,1.2,1.26,1.19,2.34,1.43,1.17,0.97,0.72,1.13,0.9,1.16,1.11,1.18,1.05,1.15,0.97,1.11,1.13,1.01,1.19,1.13,1.13,0.99,1.02,1.14,0.87,1.36,1.17,1.03,1.18,1.85,0.99,1.06,1.16,0.99,1.11,1.12,1.02,1.08,1.15,2.03,1.11,1.03,1.06,0.62,1.05,1.04,0.99,1.06,1.16,0.72,1.07,2.06,1.14,1.41,1.15,1.15,1,1.31,1.04,0.95,1.04,1,0.95,1,1.22,1.11,1.04,1.04,1.16,1.42,1.12,1.42,1.46,1.12,1.46,1.42,1.41,1.04,1.04,1.38,0.95,1.38,0.87,0.95,0.87,1.01,0.95,1.01,1.08,0.95,1.08,1.14,0.95,1.14,0.36,0.95,0.36,1.42,1.41,1.18,1.12,1.18,1.21,0.95,1.21,1.13,1.16,0.54,1.06,1.07,1.23,1.11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.06
2028,1,1,1.17,1.1,1.16,1.19,1.66,1.14,1.21,2.34,1.46,1.05,1.08,1.07,1.42,1.1,1.13,1,1.88,1.21,0.61,1,1.16,1.56,1.1,1.01,0.87,1.44,1.01,0.56,0.72,0.9,1.2,1.13,1.19,0.52,1.69,1.29,1.16,0.65,1.12,1.95,1.17,1.11,1.17,1.2,1.26,1.19,2.34,1.43,1.17,0.97,0.72,1.13,0.9,1.16,1.11,1.18,1.05,1.15,0.97,1.11,1.13,1.01,1.19,1.13,1.13,0.99,1.02,1.14,0.87,1.36,1.17,1.03,1.18,1.85,0.99,1.06,1.16,0.99,1.11,1.12,1.02,1.08,1.15,2.03,1.11,1.03,1.06,0.62,1.05,1.04,0.99,1.06,1.16,0.72,1.07,2.06,1.14,1.41,1.15,1.15,1,1.31,1.04,0.95,1.04,1,0.95,1,1.22,1.11,1.04,1.04,1.16,1.42,1.12,1.42,1.46,1.12,1.46,1.42,1.41,1.04,1.04,1.38,0.95,1.38,0.87,0.95,0.87,1.01,0.95,1.01,1.08,0.95,1.08,1.14,0.95,1.14,0.36,0.95,0.36,1.42,1.41,1.18,1.12,1.18,1.21,0.95,1.21,1.13,1.16,0.54,1.06,1.07,1.23,1.11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.06
